knot_id	catalogue_exact_u	status	attempts	strands	word_length	rep_key	graph_node_id	graph_u_upper	cc_positions	zero_ri	zero_rii	zero_riii
knot:10_62	2	witness	43	3	10	ca6e7e8d5c1f2facdf2471da1628576c063a3896d5cdd1943def25b639804af6	79763	4	7,8	2	4	2
knot:10_63	2	witness	316	7	28	6e83c9d5c02892f477bc67eb86bc6f2897a2e843f7db018bbf4a454331616b63	43794	14	16,20	6	11	0
knot:10_64	2	witness	1	3	10	4fe43d3a5821ebff68555d26c22f344a911835f728b377e9340417354f7674df	31650	2	0,1	2	4	2
knot:10_65	2	witness	55	5	16	61f5a90e345385543f45620ee91451e8ab4896ff25a9095b5ff9672984eb7daa	38848	8	4,5	4	6	1
knot:10_66	3	witness	161	5	18	238af046cf2e11d885a380ed0b9a6ecb05e350f38656b14102d2915f01216a8f	13986	7	1,3,13	4	7	0
knot:10_67	2	witness	30	7	26	425d03caa01ca6d4036d0c1f2e76ba6ee0fb740fc9bffe1eb88adea05516ab90	26327	10	1,6	4	11	1
knot:10_68	2	witness	132	7	26	6ff5e7929b632cc50ad90a87d9924759746757e5d8a9aeb7bbcd3af41e092515	44391	13	5,22	6	10	1
knot:10_69	2	witness	18	5	16	0f07dfba9092f60a0189e07ab55ef6666313819644d882cf9ad9b0f9a4755b37	5982	6	1,4	4	6	1
knot:10_70	2	witness	29	5	14	1de8de53403095ce017eca413de7b7536fe242a6b6c465914c572d312b46260b	11742	7	2,6	4	5	1
knot:10_71	1	witness	7	5	14	b9f5c274579d744236fd4110d1c27b2352b8a3ea4771c90459d702f9e02db34c	73331	6	6	6	4	4
knot:10_72	2	witness	82	5	16	227993544cff9529da31759dd968ee58db1082c617526ab5942fe49a8209714d	13557	11	6,13	2	7	2
knot:10_73	1	witness	12	5	12	dd51e11df14b9d4dd62b778880420349545453533596cc683ac78e3b8301283d	87103	6	1	6	3	4
knot:10_74	2	witness	28	7	26	64367a3eef376671bf7d8afb8f68f510f429e4075b5ec9e0062cc85df1353457	39725	10	1,4	4	11	1
knot:10_75	2	witness	36	5	16	2b4f1dec937598e4e1bb619473b68cae6904b042e941d1ed79e32ecbc0f25261	17027	9	2,9	4	6	1
knot:10_78	2	witness	22	5	16	5138abf3f0e095ef6e0f3025b6df4b863372b58f91b15deae5be01508a357a02	32201	9	1,8	4	6	1
knot:10_80	3	witness	231	5	18	96c338a2223dd4fff6c0ed9c7ac92f3e0941e7d8d1a25accf07d411d8a40af4b	59607	5	1,10,13	4	7	0
knot:10_81	2	witness	31	5	14	62a5fc71ececc0eb7da9d4f0206e6f99896ea088bc53febda40a616beb1140ab	39113	6	2,8	4	5	1
knot:10_82	1	witness	10	3	10	62716aa0d7da35c81a43527846de854b8011222401d59cc7a5efb4e4b4b97ace	39041	4	9	2	4	3
knot:10_83	2	witness	23	5	16	9a4301720c43dad2096754713df892f3b0e8d6d6b20722851c3574204b9d8104	60922	7	1,9	4	6	2
knot:10_84	1	witness	7	5	16	8cf022a2d00b31b96034863d455467ef8c5f5d3737fb869211cb7ebd146469d1	55801	8	6	2	7	3
