unknotdb-rf-targeted-campaign-v0
snapshot_id	67e82776df09c7a646b5e51ecff0f6e2d90ff372f65f44bbc4aafeb0b8cb0296
corpus_id	7de9d30ded524253bd8138245758f0a14d4f159397babf1c97d8b59207cf9c2a
model_id	q-grown-raster-axial-12:Q254:36d1122f5494d502e556994083a1a69adf1643d5be95cd9f80ffc13b68e68d63
limits	1	12	48	1	10000	1	1	1	1	1	10	128	32
audit	representation_id	priority	stop_reason	stopping_key	hit	u
audit	braid:675c0e7cc4e651c05c8442dc7b0fe36bb53cc7c02f152852b2033db559841822	0	PreferredCrossingChange	af99fd786e6c4cf96090fa9b360e405839cd189977b85000d161d7ad1f249df0	1	3
audit	braid:caefd8def23a91edb0a2e190e86c5f74e8281b314002433f8e618a58a3db5507	0	PreferredCrossingChange	c6c7a21a4038f07a3adf79d1f92a6f6e885d0baf284706a4c5f16acf20058b3d	1	1
audit	braid:1a30a4165beb2d34d0eed548093b45cf0f86b6f5125a126b54b96bce3f32f0c3	0	PreferredCrossingChange	ec21fa41fb9cb6c99443df485058f6d684768cce1ffd7b5fcb3a3788129b0960	1	4
audit	braid:5fb4f6a23619c875a28870ff492e57413a76177e8de65c180b32d1f777074bfa	0	PreferredCrossingChange	c6c7a21a4038f07a3adf79d1f92a6f6e885d0baf284706a4c5f16acf20058b3d	1	1
audit	braid:b499eaa5646311b142bd1759a2e0271a898b52c24c74fee8195fe41c30ed6e82	0	PreferredCrossingChange	c1a82aa4c3c9591a36a6a6f397b0fe2afdd3f76a1c751aae04843d212e89f74d	1	3
audit	braid:bcdd0a52a8095c1eab5d27631dcd8abb52ea4c9fd0652835f50fe5dff8786d64	0	PreferredCrossingChange	c1e65bfc9fa2c78d26714fb1d6faba2d10314cf57951f183a76e4de2a3b4a6c7	1	5
audit	braid:ce1c2e5f784291098cb937dc5a4452df75fb25ce007005e2b8007e5b4797fb3a	0	PreferredCrossingChange	e3e117464f9d122d52dbb8d100db7a14dea24efc72b9551b9c6fbdbdfaf0aa09	1	5
audit	braid:daae3a4234a83e27c21ff47915a1d7987cb35df25ee5d9d1b92d4feddaefdd29	0	PreferredCrossingChange	e7c9619410813de29b0f7cc9c7a0691d6772145de8100cce887a96eafbc343dc	1	2
audit	braid:e0b0147996cc3327e1b3f9f52db689c459f53de5e9417f932afda4c6d94730c4	0	PreferredCrossingChange	1e208ef280517e02c9b0d287ebbe023899785c53cc96a6d720a25e5232414cfe	1	3
audit	braid:08ac9cc40bc714d49f904515ca30be716d2a6f9d8c5752ea450fd0c3d0ada219	0	PreferredCrossingChange	a42408f82962c438f1d850d4f5bc60e3e126d5bae0468265cc787e6a629559b9	1	5
audit	braid:0c9f9b43962952162dfc28a24f739ad50c175899d095ebd501f666887b354c12	0	PreferredCrossingChange	4a747f3c17cc6736e2f00800006fe1c8285b630baffed6848945ea9ac1c95c30	1	2
audit	braid:21856d29b59217cc80135952599a6fbf5845c746fd4323166c12bcd1f1663595	0	PreferredCrossingChange	4a747f3c17cc6736e2f00800006fe1c8285b630baffed6848945ea9ac1c95c30	1	2
audit	braid:3a0fc1eb3b128fad79f74f97ac54c422a0619553063af6945778c4ff0e8cf1ca	0	PreferredCrossingChange	f7451efa7f1a3f3b18320e18f65622cdbbf765220e212c0d2a3135e60e31ee86	1	4
audit	braid:3b259e9336a9384267eaf05deca5e3fd70583149f07bd0f1a46f03ac13fb0a22	0	PreferredCrossingChange	c77132a616247ad571f5341433b666ed93284b12b8f0b93f0350b3a388f3d400	1	4
audit	braid:3fb9c051e1a7f3fc968e6284a219d9862a8233f581dd83ec44f3819ad6878d85	0	PreferredCrossingChange	2e5c160c3fcefa2354197afe736232f45ef837af3c536f1e58813f12a9330250	1	5
audit	braid:5681d55169176c43b9f8e31531cbb17e82bbac3928da95a1500ffcfd3c49b582	0	PreferredCrossingChange	3c4fb7b9c3efa4697672a5d91ee552b061408fdd16fe9afec2fe2b1bffcd9a19	1	7
audit	braid:84bedad3ff2caddadc6bb981ff9f277be05f15141b2fd16e6ec03f34b2992d3d	0	PreferredCrossingChange	9afd4ad27df4420ba9071b21494e8f79e93ba21e675ca96ef8a226ae07e7e167	1	9
audit	braid:858a2429152abdaecba6cdc8ea740c4ac92dd03c04dbf75666a2705af6ce7195	0	PreferredCrossingChange	78cbb62fcc1c9ec670c90bba72c56d1e572f69d00eb59792fedb162faf03e83c	1	8
audit	braid:f9a51039329983d0e4fa6fa07cd9c2f043d540098859bf0da3d140a66eb7699d	0	PreferredCrossingChange	b6952ef9de3e048a8d60d9adb504f0522b86f96cd6a178d821f3d6db84f9b74b	1	5
audit	braid:0acd214f56df094a281b742850964efd556d5ad4fc647a351597fd757a115b4e	0	PreferredCrossingChange	084e7f7e5e37db403baa65b0d4f597d46918e81340f339ee75b03e248ab8423c	1	6
audit	braid:0bb928967a91f24e5683d6c88b7fcc5656ae130c3bfb21d202c11d3127887ccd	0	PreferredCrossingChange	d034fabf0724b674286239ad8ae12db7b66a229a46efaa744f87ed5b147230dc	1	6
audit	braid:126eeb0b45e08df8a9c646bcbb99ac5da2884ce397fc4504270c73ec0993ba2c	0	PreferredCrossingChange	89fbfc33d9a00ec9c155b632a33750d3629615df836e0eacbcdd3c0cbd65395c	1	5
