unknotdb-quality-frontier-v0
limits	128	3	4096	256	5	14
accepted	e1cdc4aa6ca6c7d8f56462b9f4ea31f098bb844dd5e1b74338376c73f07bdc97	6f1632453ff530bdc203196db27caf45fe540d202cda6fcfd1d16f1763e0c4df	1999	1993	1	1	554b503001000000010000000800000000000000
accepted	e1cdc4aa6ca6c7d8f56462b9f4ea31f098bb844dd5e1b74338376c73f07bdc97	64a8db374f24cdc88c70d8a247b0f56c0bcbbe22448240d6c07e61a6a67b7373	1993	1107	1	1	554b5030010000000200000028000000000000000200000000000080
accepted	e1cdc4aa6ca6c7d8f56462b9f4ea31f098bb844dd5e1b74338376c73f07bdc97	ed6bd38f1fc76005819c3615afb791b59cc244d1b6c611618ba2d4860a6e4495	1107	1018	2	2	554b5030010000000200000008000000000000002100000000000000
accepted	e1cdc4aa6ca6c7d8f56462b9f4ea31f098bb844dd5e1b74338376c73f07bdc97	83d3f678ddcff3b3f960082503c71a9e2408fed7fcfa1a3b4b479c35eb1de93d	1018	1006	2	2	554b5030010000000200000008000000000000005100000000000000
accepted	d8a970c489332049ada5b4bb26742f288a4d7d57dab831d6c90056e98e8e4bb1	e1cdc4aa6ca6c7d8f56462b9f4ea31f098bb844dd5e1b74338376c73f07bdc97	1998	1007	1	1	554b5030010000000200000008000000000000000200000000000080
accepted	76389854b0d1a0632b2cfa22a738bd7d77a8afb53e6aace74a62a5a603b0e50a	d8a970c489332049ada5b4bb26742f288a4d7d57dab831d6c90056e98e8e4bb1	1997	1008	1	1	554b5030010000000200000008000000000000000800000000000080
accepted	824e0a3915f1958bd9c90f405858ce6cf73abf2bbc19d241eb2db85cae8b1762	76389854b0d1a0632b2cfa22a738bd7d77a8afb53e6aace74a62a5a603b0e50a	1996	1009	1	1	554b5030010000000200000008000000000000000300000000000080
accepted	d1ddc1ea6dfe552c7b4f9b4706496b283dcdec436b6222fe46d6350508b62535	824e0a3915f1958bd9c90f405858ce6cf73abf2bbc19d241eb2db85cae8b1762	1995	1010	1	1	554b503001000000010000001800000000000000
accepted	6ec38e3435d5af5459649a90c716b60b7c953c96abf5dc6d15090735243d29bf	59e95ce20684d14a8105b07fcfa1ed6fdc3a285b0af79d035a77baa285f328d3	1994	1992	1	1	554b5030010000000200000008000000000000000800000000000080
accepted	6ec38e3435d5af5459649a90c716b60b7c953c96abf5dc6d15090735243d29bf	15455f09bcbb1f6e846a9177720cf51e472836822928bcf6117c03cb80e352c8	1992	1941	1	1	554b503001000000010000001800000000000000
accepted	6ec38e3435d5af5459649a90c716b60b7c953c96abf5dc6d15090735243d29bf	d1ddc1ea6dfe552c7b4f9b4706496b283dcdec436b6222fe46d6350508b62535	1941	1011	1	1	554b5030010000000200000068000000000000000600000000000080
accepted	6ec38e3435d5af5459649a90c716b60b7c953c96abf5dc6d15090735243d29bf	76389854b0d1a0632b2cfa22a738bd7d77a8afb53e6aace74a62a5a603b0e50a	1011	1009	1	1	554b503001000000010000007800000000000000
accepted	6fa24bfe92ecfd74903438ffc4762e7e8859a8721c360918169764e2639c00e9	3dbc07a390f4c2792d791865da272b51857323aa1d3a44ed9f8c92eb0920cd14	1993	1989	1	1	554b503001000000010000001800000000000000
accepted	6fa24bfe92ecfd74903438ffc4762e7e8859a8721c360918169764e2639c00e9	7d845f48185e5929f29ab54ff61df631c6bb05ce984ebb550e1cb82c9ed7f524	1989	1962	1	1	554b503001000000010000002800000000000000
accepted	6fa24bfe92ecfd74903438ffc4762e7e8859a8721c360918169764e2639c00e9	6bcc85a4545c7ea36df282d904a9a9c9b0734c0a956d78f7cd12c6857dfe4139	1962	1107	1	1	554b503001000000010000003800000000000000
accepted	6fa24bfe92ecfd74903438ffc4762e7e8859a8721c360918169764e2639c00e9	6ec38e3435d5af5459649a90c716b60b7c953c96abf5dc6d15090735243d29bf	1107	1010	1	1	554b503001000000010000008800000000000000
accepted	6f1632453ff530bdc203196db27caf45fe540d202cda6fcfd1d16f1763e0c4df	e1cdc4aa6ca6c7d8f56462b9f4ea31f098bb844dd5e1b74338376c73f07bdc97	1992	1007	1	1	554b503001000000010000000800000000000000
accepted	59e95ce20684d14a8105b07fcfa1ed6fdc3a285b0af79d035a77baa285f328d3	6f1632453ff530bdc203196db27caf45fe540d202cda6fcfd1d16f1763e0c4df	1991	1008	1	1	554b5030010000000200000008000000000000000800000000000080
accepted	139c98746a5c2245409a26df017bc7f511e9d876244085013f7c7050385e0e69	15455f09bcbb1f6e846a9177720cf51e472836822928bcf6117c03cb80e352c8	1990	1941	1	1	554b5030010000000200000018000000000000000100000000000080
accepted	139c98746a5c2245409a26df017bc7f511e9d876244085013f7c7050385e0e69	59e95ce20684d14a8105b07fcfa1ed6fdc3a285b0af79d035a77baa285f328d3	1941	1009	1	1	554b503001000000010000002800000000000000
accepted	b52b69dff05c789bc8206acb34a0d1e29a178b1102929a4840504026bc77558d	6f1632453ff530bdc203196db27caf45fe540d202cda6fcfd1d16f1763e0c4df	1989	1008	1	1	554b5030010000000200000008000000000000000300000000000080
accepted	3dbc07a390f4c2792d791865da272b51857323aa1d3a44ed9f8c92eb0920cd14	b52b69dff05c789bc8206acb34a0d1e29a178b1102929a4840504026bc77558d	1988	1009	1	1	554b5030010000000200000008000000000000000700000000000080
accepted	c446e86f017122fc613c0c537835b199ef1b417c3a24dbba861c0f487e6b9097	6f1632453ff530bdc203196db27caf45fe540d202cda6fcfd1d16f1763e0c4df	1987	1008	1	1	554b5030010000000200000008000000000000000100000000000080
accepted	377b475c48cc7527bac6209d660ed98fd05a92b7597089adf472dd455ef3a527	59e95ce20684d14a8105b07fcfa1ed6fdc3a285b0af79d035a77baa285f328d3	1986	1009	1	1	554b5030010000000200000008000000000000000200000000000080
accepted	82f084c5e09889c8ca5a064f88bf5b12aa584f7734cabd1637fc1ea946e76c97	d8a970c489332049ada5b4bb26742f288a4d7d57dab831d6c90056e98e8e4bb1	1985	1008	1	1	554b5030010000000200000008000000000000000200000000000080
accepted	7cabd44082a871786e49b94b43334cc9c02fdb14d54c4386c1d10830c71ffcda	013405db5eb30fd607a2694209365c2b77b68c335cf8b6df203f536b00fa4887	1984	1106	1	1	554b503001000000010000001800000000000000
accepted	7cabd44082a871786e49b94b43334cc9c02fdb14d54c4386c1d10830c71ffcda	82f084c5e09889c8ca5a064f88bf5b12aa584f7734cabd1637fc1ea946e76c97	1106	1009	1	1	554b503001000000010000004800000000000000
accepted	060f4feed1682807ed5f2cb96e333f6030e1debd2dfbb540f6f73c963a68ff02	6f1632453ff530bdc203196db27caf45fe540d202cda6fcfd1d16f1763e0c4df	1983	1008	1	1	554b5030010000000200000008000000000000000200000000000080
accepted	8e429df2cc4f4146f0cea835c856419070c8957b42a3b3b889863bbe093fe2d8	060f4feed1682807ed5f2cb96e333f6030e1debd2dfbb540f6f73c963a68ff02	1982	1009	1	1	554b5030010000000200000008000000000000000800000000000080
accepted	47a4196fe3909d77bbc21fd46aba8d8dbc2d4c012bdb24817d3ead7260ead0c2	441afb025d9a61d0540edc9c4e08fc4f4195fc464c512c25e554a8f552c7b919	1981	1979	1	1	554b503001000000010000001800000000000000
accepted	47a4196fe3909d77bbc21fd46aba8d8dbc2d4c012bdb24817d3ead7260ead0c2	8e429df2cc4f4146f0cea835c856419070c8957b42a3b3b889863bbe093fe2d8	1979	1010	1	1	554b503001000000010000002800000000000000
accepted	1f9282dd155e8b28030354d158af6af65eb8c53c45da0f409c98e44dbd615e31	59e95ce20684d14a8105b07fcfa1ed6fdc3a285b0af79d035a77baa285f328d3	1980	1009	1	1	554b5030010000000200000008000000000000000300000000000080
accepted	ab5ca3d58a7d7a121b4214810489c9da1dacb06d7beff88dd40cdca39ee83043	d8a970c489332049ada5b4bb26742f288a4d7d57dab831d6c90056e98e8e4bb1	1979	1008	1	1	554b5030010000000200000008000000000000000300000000000080
accepted	441afb025d9a61d0540edc9c4e08fc4f4195fc464c512c25e554a8f552c7b919	ab5ca3d58a7d7a121b4214810489c9da1dacb06d7beff88dd40cdca39ee83043	1978	1009	1	1	554b5030010000000200000008000000000000000800000000000080
