format	unknotdb-catalogue-planar-chain-import-v0
source_snapshot_sha256	c2d2dd17a792002372c7902ef53853f8677747a9ae1e2aaa19e80c56344421f3
policy_model_id	q-grown-raster-axial-12:Q254:36d1122f5494d502e556994083a1a69adf1643d5be95cd9f80ffc13b68e68d63
max_policy_plies	128
max_semantic_moves	32
row	knot_id	status	old_u	new_u	cc_count	certificate_id	detail
result	knot:9_16	improved	5	3	3	e072b04aaa4f97e6af6ce876a427dbf6f562488c297de02ef117cd6fb4f66b79	verified chain
result	knot:9_17	improved	6	2	2	56a8053dbeabfed3f98eb6a2a8a829b5023e76c3d58ad0057c92929cd312b5d6	verified chain
result	knot:9_18	improved	12	2	2	faa69d211584005edac821c4b6864ba1eab83ca691692ac228e6241de4c83aa2	verified chain
result	knot:9_19	already-sufficient	1	1	1	-	graph bound is already no larger than witness cost
result	knot:9_20	improved	6	2	2	725c027da73b46f5c2e9c9cde6c4fb36b371c533fc8158cf3c1b7530cfbbed19	verified chain
result	knot:9_21	already-sufficient	1	1	1	-	graph bound is already no larger than witness cost
result	knot:9_22	improved	6	1	1	14897360af6e46dac311390e6f9fa622c84d533d32e510cb5018e1185c2dbe5c	verified chain
result	knot:9_23	improved	10	2	2	aead7dd7a7d2a6f6362632e49082c9b5e06a6c45030241050f80ed36aaf22888	verified chain
result	knot:9_24	improved	3	1	1	f1ca1617376919ab22f471ee8372ffee3324fe7dbcd83a7d2e90072171ad5750	verified chain
result	knot:9_25	improved	10	2	2	58bd4c2feef4c9f3afa23c2b1014ea4857449d23addf5e52a054474e6a94a612	verified chain
result	knot:9_26	improved	4	1	1	03b8df3ff734ad43200eaba39db18dd6d0c25d2fa80604196ba9ea865ff3d120	verified chain
result	knot:9_27	improved	6	1	1	1c481bdab3139f23e0b98f5d507356e44eb0207e015e2764d8381295b9956171	verified chain
result	knot:9_28	improved	4	1	1	49f95c5e711948ff60d0bedd0190d56a4b06fd677548f72fd75b918a22f1d6a6	verified chain
result	knot:9_29	improved	4	2	2	f05f433b6da29f34e00567cc5490c12b5bf99f6f2a4d6e0e97b0461e50f7b4ea	verified chain
result	knot:9_30	improved	5	1	1	2826cdf042b43376b3f334a4931f46736307d7826f49dd46e3ba791d17e34e8d	verified chain
result	knot:9_31	improved	4	2	2	17f54109312cccf65dbe17566dea807e486de3c714d54deed73b442e5a837168	verified chain
result	knot:9_32	improved	4	2	2	508beb06df39bdd2c74ec45d3f86f232f96aea3ea7b04f672d46a80ae1ab8318	verified chain
result	knot:9_33	improved	6	1	1	4add40a8702b230506e1735c36171cd9cf397b899257c86050ca0de116ecd985	verified chain
result	knot:9_34	improved	3	1	1	f6f6da389f28ddb5a69a50663d4eccc1882db32f4327f173f5357c8575515062	verified chain
result	knot:9_35	improved	15	3	3	a4799d546a4d7979ef770fa7a387c4993dc2034abb10247a3e554c7616d810af	verified chain
result	knot:9_36	improved	5	2	2	7222e9380c1ace74f02abd5e0889d80d7bd4edfb74941874ed805f67e41aec32	verified chain
result	knot:9_37	improved	11	2	2	33c4998e6b360bec16ac7ea40467fba2a3c52b0a9d4ed77e40e5b8f83b5665fc	verified chain
result	knot:9_38	improved	6	3	3	e0c3403550a28ecf8da9e0cb6e4f26f432375626e66e8e935f037e255f84f317	verified chain
result	knot:9_39	improved	6	1	1	c747cc5165c4a99e1ea236a1e6b34e905a8c56049e670a69fea23f17dc9e8214	verified chain
result	knot:9_40	improved	4	2	2	bc49d3dc2da1c3913eaa2f505482737e7d454e439c9cdb284eb6e0d5dcfd83a4	verified chain
result	knot:9_41	improved	11	2	2	5592aa3d64cbdff26d7a67b943b8296821694724c927950252d5825fff8e0fee	verified chain
result	knot:9_42	improved	5	1	1	2625f1fd3538b894fd922cbfcd3962c5e84c5de7b00a4dfc3f47110eaedc1f49	verified chain
result	knot:9_43	improved	3	2	2	a7c452519a00e007b863aedb965c262f7784e11cd81d074fdd9c050114d178de	verified chain
result	knot:9_44	improved	2	1	1	4c39e9871a7f7619d73dab454c94d93d442f794e0eac0ef569a7c4b0277284c8	verified chain
result	knot:9_45	improved	5	1	1	7258944602f8895d3af8bb2d191802edbb638c22c8a99482df00ab3aaedbf18d	verified chain
result	knot:9_46	improved	16	2	2	63a059f46b7e09dbc1d04d521f4ae37d85775ed48aea097927bf2867024c381f	verified chain
result	knot:9_47	improved	6	2	2	511db2f9b7d465a6c026e1e765464df2866eca03c9d597f08fc66902d9154e7c	verified chain
result	knot:9_48	improved	6	2	2	76e3b31a7efd006ef5fbadb5537ebbc43794d06e0a9d796b6b33a44b1f06c758	verified chain
result	knot:9_49	improved	4	3	3	4ea6fd28deb5daec5a587486247ed9a42d11c49451d5f490fae2750b048a949b	verified chain
