format	unknotdb-catalogue-planar-chain-import-v0
source_snapshot_sha256	c2d2dd17a792002372c7902ef53853f8677747a9ae1e2aaa19e80c56344421f3
policy_model_id	q-grown-raster-axial-12:Q254:36d1122f5494d502e556994083a1a69adf1643d5be95cd9f80ffc13b68e68d63
max_policy_plies	128
max_semantic_moves	32
row	knot_id	status	old_u	new_u	cc_count	certificate_id	detail
result	knot:10_133	improved	5	1	1	8e0d541f0237a600eb09c0c3ddb8075501540a746787eadb22727ec7a9320b03	verified chain
result	knot:10_134	improved	7	3	3	ea342a9a5594285f97a9143e6a1db9bd371fa4eb499006c4eb826b0543763e6a	verified chain
result	knot:10_135	improved	6	2	2	e83336e174dea84df3ed06e6d29395b4e81abb91d1198e70c7a00927f9fbefee	verified chain
result	knot:10_136	improved	5	1	1	800503f7423c2ab3b866e156a4e5effcf8bc80b84b7e73ad18a0cf7dc9840d5e	verified chain
result	knot:10_137	improved	9	1	1	16acec627c31aa6bc942920c081dabd1920458f8330b5095d23e7702b4a056ea	verified chain
result	knot:10_138	improved	7	2	2	c44ecffc9d5734afafb578e1d619f5f86c410cd40257ef73265d5f0e5d86b357	verified chain
result	knot:10_139	already-sufficient	4	4	4	-	graph bound is already no larger than witness cost
result	knot:10_140	improved	8	2	2	04d0cde54c9b9163aff881edd78b96d9c0306b1bb05c2ab470b35bef39a82b4e	verified chain
result	knot:10_141	improved	2	1	1	90de9aa8e774db25643f965ecfdd5e57a958455928f837edf5437609714e9cac	verified chain
result	knot:10_142	improved	7	3	3	8ffd5ce37febe7c427f63580e82164752c62bb000dfac3f435776fa5ff3dc67b	verified chain
result	knot:10_143	improved	5	1	1	6e3e27b84bd31e61b4e74706124f9989c1cbcc99e46e2f4c0ed106099a1a3757	verified chain
result	knot:10_144	improved	16	2	2	1a73ab5c484d8b05a897dd82f709d63d8ade220ade178a9aca9e7b1ada00381a	verified chain
result	knot:10_145	improved	4	2	2	7a73bf2ef2870f08ce7f75988de3a3cefe3924eca9a4e141aa0b3ff7c20faa4b	verified chain
result	knot:10_146	improved	13	1	1	78c47d8a031c848fb216670d4f89cf6c49ef2d95e21f5473d1dc02927910445e	verified chain
result	knot:10_147	improved	7	1	1	e8a95d5194582b115c9c1bd35376002013e7f10fcfb19bdaae9ae2330ac2fd13	verified chain
result	knot:10_148	improved	5	2	2	6e9a87899ad72caac8f2a143f228396fd4f6177272f52c7031664c8bb72c801e	verified chain
result	knot:10_149	improved	4	2	2	2592844d67a19dc6c43a007067b1b493fba08b4662b0f88e12baaeb070e32cd9	verified chain
result	knot:10_150	improved	7	2	2	4da8011ea0638664bc7b160574801371d725ae9f8b5feac757060b055be8e466	verified chain
result	knot:10_151	improved	6	2	2	8f389cebdabb9567bcc3fc181b6277a18513a7d1623894441343699a7549f411	verified chain
result	knot:10_152	already-sufficient	4	4	4	-	graph bound is already no larger than witness cost
result	knot:10_153	improved	6	2	2	6a9f081ed750555105c6d5488af55013b25585ae1961fc158665511617f45a8e	verified chain
result	knot:10_154	improved	5	3	3	e0e3447960d538b30319fdb7d202b2fd97a5f711e173b5c6885c88ed57c925c5	verified chain
result	knot:10_155	already-sufficient	2	2	2	-	graph bound is already no larger than witness cost
result	knot:10_156	improved	6	1	1	bd07542cd956249a44365e8954d8628de423978bf61d1ab30611bf21606f7541	verified chain
result	knot:10_157	improved	6	2	2	2a691d6aaecbfaed95fdeaf591466dc18277263f4ea009ceb77a0ad47350745f	verified chain
result	knot:10_158	improved	7	2	2	d34e4fb5a2f36234e9c495679955b0b89152ea29f6d75003f5b5cf027ec40797	verified chain
result	knot:10_159	already-sufficient	1	1	1	-	graph bound is already no larger than witness cost
result	knot:10_160	improved	7	2	2	f45eccd3a69e2e0abe801b6e34f87e9e3f524a57ad6382fcc2bd30991eb4fbc6	verified chain
result	knot:10_161	improved	5	3	3	a5f17c8c9c907ec64969384015d3fccc3678ad89a1a6a0d3870e9c1af13f2cdc	verified chain
result	knot:10_163	improved	7	2	2	590b037ec16ffd3dcf6966a1aeb5c127b9413483aed8a441e6c1a20d4061606b	verified chain
result	knot:10_165	improved	6	2	2	e54d5623996bce4d4da18401951061d5f4a3b721bb5901f6a78977bc7e9c4c73	verified chain
summary	corpus_entries	239
summary	witness_entries	236
summary	strict_candidates	208
summary	improved	208
summary	already_sufficient	25
summary	absent_sources	3
summary	failed	0
summary	collateral_improvements	340
summary	inserted_nodes	276
summary	inserted_edges	559
summary	inserted_certificates	205
